Data,prec_diaria
2019-10-09,0.0
2019-10-10,0.0
2019-10-11,0.0
2019-10-12,0.0
2019-10-13,2.1336
2019-10-14,16.129
2019-10-15,16.052800000000005
2019-10-16,22.40280000000001
2019-10-17,9.601200000000002
2019-10-18,0.45719999999999994
2019-10-19,0.0
2019-10-20,0.0
2019-10-21,1.8287999999999995
2019-10-22,0.0
2019-10-23,0.0
2019-10-24,3.9116000000000004
2019-10-25,1.6001999999999996
2019-10-26,1.6001999999999996
2019-10-27,24.485599999999998
2019-10-28,2.0573999999999995
2019-10-29,0.0
2019-10-30,0.0
2019-10-31,0.6858
