Data,Horário,Pluviógrafo,Piranômetro superior,Piranômetro inferior,Temperatura do Ar,Umidade relativa do ar
2019-02-28,15:30:00,0.0,577.217,109.005,27.626,0.122
2019-02-28,15:35:00,0.0,691.935,48.278,26.884,0.076
2019-02-28,15:40:00,0.0,638.251,77.041,26.537,0.121
2019-02-28,15:45:00,0.0,434.2,102.625,27.181,0.176
2019-02-28,15:50:00,0.0,378.427,34.0,26.968,0.164
2019-02-28,15:55:00,0.0,438.196,86.975,26.935,0.134
2019-02-28,16:00:00,0.0,541.843,22.736,26.33,0.142
2019-02-28,16:05:00,0.0,562.023,48.465,26.161,0.154
2019-02-28,16:10:00,0.0,452.804,31.403,26.186,0.153
2019-02-28,16:15:00,0.0,361.143,27.994,25.911,0.145
2019-02-28,16:20:00,0.0,284.494,35.393,25.875,0.177
2019-02-28,16:25:00,0.0,242.613,28.14,25.46,0.158
2019-02-28,16:30:00,0.0,304.582,20.928,25.758,0.156
2019-02-28,16:35:00,0.0,268.731,36.952,26.025,0.104
2019-02-28,16:40:00,0.0,36.913,91.776,26.065,0.123
2019-02-28,16:45:00,0.0,20.968,99.299,26.83,0.142
2019-02-28,16:50:00,0.0,0.0,47.738,26.149,0.102
2019-02-28,16:55:00,0.0,0.0,64.78,26.308,0.114
2019-02-28,17:00:00,0.0,0.0,47.156,26.288,0.167
2019-02-28,17:05:00,0.0,0.0,63.075,25.893,0.151
2019-02-28,17:10:00,0.0,173.552,41.835,25.595,0.15
2019-02-28,17:15:00,0.0,247.635,29.22,25.589,0.141
2019-02-28,17:20:00,0.0,251.759,62.618,25.524,0.135
2019-02-28,17:25:00,0.0,194.556,3.658,25.823,0.116
2019-02-28,17:30:00,0.0,162.665,16.792,25.712,0.141
2019-02-28,17:35:00,0.0,193.512,0.0,25.486,0.135
2019-02-28,17:40:00,0.0,223.02,6.172,25.224,0.151
2019-02-28,17:45:00,0.0,236.62,23.443,25.185,0.153
2019-02-28,17:50:00,0.0,463.929,3.138,25.102,0.161
2019-02-28,17:55:00,0.0,410.667,41.461,25.149,0.136
2019-02-28,18:00:00,0.0,498.918,0.0,25.065,0.131
2019-02-28,18:05:00,0.0,569.098,3.99,25.097,0.175
2019-02-28,18:10:00,0.0,568.236,17.499,24.996,0.155
2019-02-28,18:15:00,0.0,605.021,0.0,25.035,0.177
2019-02-28,18:20:00,0.0,668.786,26.269,24.927,0.145
2019-02-28,18:25:00,0.0,726.447,40.422,25.042,0.154
2019-02-28,18:30:00,0.0,660.886,25.978,24.916,0.152
