Data;Aplic_altura;Aplic_fluxo;CFM_altura;CFM_fluxo;Bot_altura;Bot_fluxo
30/08/2019;;;;;;
31/08/2019;;;;;;
01/09/2019;;;;;;
02/09/2019;;;;;;
03/09/2019;Baixo;Baixo;Baixo;Baixo;Baixo;Médio
04/09/2019;;;;;;
05/09/2019;;;;;;
06/09/2019;;;;;;
07/09/2019;;;;;;
08/09/2019;;;;;;
09/09/2019;;;;;;
10/09/2019;;;;;;
11/09/2019;;;;;;
12/09/2019;;;;;;
13/09/2019;;;;;;
14/09/2019;;;;;;
15/09/2019;;;;;;
16/09/2019;Baixo;Baixo;Baixo;Baixo;Médio;Baixo
17/09/2019;;;;;;
18/09/2019;;;;;;
19/09/2019;Baixo;Baixo;Baixo;Médio;Médio;Médio
20/09/2019;;;;;;
21/09/2019;;;;;;
22/09/2019;;;;;;
23/09/2019;;;;;;
24/09/2019;;;;;;
25/09/2019;Baixo;Baixo;Baixo;Baixo;Baixo;Médio
